gene_combination,sens.score,rank
RAD51;WDR70_mis,-1.850044464,358
ATRX_mis;RAD51,-1.849714852,359
BRCA1_mis;DTL,-1.847589196,360
APEX2;HUS1_mis,-1.847589195,361
ING3;RBX1_mis,-1.847224879,362
FZR1;RAD1,-1.846883088,363
APEX2;C19orf40,-1.846324974,364
MCM3_mis;POLR2F,-1.845275631,365
FZR1;HUS1_mis,-1.84389171,366
NPLOC4;RAD51C,-1.843613531,367
COPS8;WDR70_mis,-1.842806702,368
DDX1;INO80E,-1.842585328,369
RFC1;RIF1,-1.842498631,370
BRCA2;ESCO2,-1.842029603,371
NDNL2;NSMCE2,-1.840408093,372
MEAF6;MMS22L,-1.840194645,373
CDK7_mis;MEAF6,-1.839212201,374
GTF2H3;SFPQ,-1.839130547,375
ATRX_mis;BRCA1_mis,-1.83862438,376
MEN1;RFC3_mis,-1.838453752,377
CHEK2;TOP3A,-1.837771434,378
DNA2_mis;GINS4_mis,-1.837407053,379
HUS1_mis;SMC1A_mis,-1.835008869,380
RAD9A_mis;SMC3,-1.834455636,381
MCM7;TONSL_mis,-1.833212658,382
DDB1_mis;WDHD1_mis,-1.832927093,383
PPP4C;SHFM1_mis,-1.832767727,384
ESCO2;MCM5,-1.831655589,385
CCNH_mis;RAD9A_mis,-1.830967838,386
RFC2_mis;TOPBP1_mis,-1.830966768,387
APEX2;SUPT16H,-1.830760265,388
CHEK2;PPP4C,-1.829626473,389
INO80B_mis;POLR2B_mis,-1.827968809,390
FANCA;TIMELESS_mis,-1.825117853,391
ATRIP_mis;RBX1_mis,-1.824511695,392
RAD9B;VPS72_mis,-1.824239461,393
COPS8;RFC2_mis,-1.822502903,394
COPS4;RFC5_mis,-1.821793276,395
COPS8;MEAF6,-1.821298672,396
ACTB;WDR70_mis,-1.820801477,397
OTUB1;RUVBL1_mis,-1.820581459,398
DDX1;INO80_mis,-1.820569146,399
NFRKB;TOPBP1_mis,-1.819948833,400
ACTR5;UVSSA,-1.81952093,401
ATRIP_mis;CHRNA4,-1.819015667,402
CDK7_mis;VPS72_mis,-1.818401596,403
APEX2;RFC1,-1.817290316,404
CDK2;MCM7,-1.817209034,405
BRCA2;POLA1,-1.816107252,406
BRCA1_mis;SHFM1_mis,-1.814765513,407
ATRIP_mis;GTF2H5,-1.81466025,408
BRCA2;POLR1B_mis,-1.814539948,409
GINS4_mis;RPA3_mis,-1.814268449,410
APEX2;TDP1,-1.813603034,411
HUS1_mis;NSMCE1_mis,-1.812989954,412
PPP4C;WDR70_mis,-1.812868443,413
CDK2;DDX1,-1.812003999,414
CHEK2;POLA1,-1.811924759,415
RAD51C;UHRF1,-1.809832384,416
HINFP_mis;HUS1_mis,-1.809383984,417
MTA1;POLA1,-1.809007978,418
DHX9;POLA1,-1.808782622,419
ACTR8_mis;VCP_mis,-1.807383137,420
BRCA2;RPA3_mis,-1.805603815,421
MCM7;SMC3,-1.805321769,422
CHEK2;CINP,-1.804764859,423
RFC1;UVSSA,-1.804470859,424
RBM17_mis;WDR33_mis,-1.803779032,425
MEAF6;TERF2,-1.803546821,426
FZR1;POLG2,-1.802376499,427
ACTR8_mis;BRCA1_mis,-1.802342684,428
GINS4_mis;PRPF19_mis,-1.800507715,429
POLR2L;TRRAP,-1.799467458,430
CEP164;RAD9A_mis,-1.798441628,431
RUVBL1_mis;TIMELESS_mis,-1.797743301,432
ACTR5;TOP3A,-1.796960784,433
MCM5;POLN,-1.796692053,434
ERCC1;RPA3_mis,-1.796630979,435
FZR1;VCP_mis,-1.796523507,436
GINS4_mis;USP45,-1.795995103,437
NFRKB;RFC5_mis,-1.795616816,438
HUS1_mis;RAD9B,-1.795406267,439
CHEK1_mis;TERF2,-1.795298767,440
GTF2H5;SMC3,-1.793394852,441
ATRIP_mis;MEAF6,-1.793034249,442
BRCA1_mis;RAD9B,-1.792192581,443
C11orf30;MCM5,-1.791773176,444
MUS81;TOP3A,-1.791518546,445
CDC45;GINS4_mis,-1.790207618,446
RAD51C;RAD9B,-1.78943188,447
ATR;SETD2,-1.788545145,448
APEX2;RNF8,-1.787955673,449
RAD1;VCP_mis,-1.787520019,450
POLR2A_mis;RPA3_mis,-1.786662776,451
POLD2_mis;RFC5_mis,-1.785936417,452
MCM5;NFRKB,-1.785804238,453
HINFP_mis;TRIP12,-1.785550361,454
CLSPN;ERCC5,-1.784415026,455
VPS72_mis;WDHD1_mis,-1.784214746,456
POLA1;POLR2L,-1.783475057,457
ACTR5;WHSC1,-1.781725038,458
RAD9B;WDR70_mis,-1.780469645,459
FGF10;GINS4_mis,-1.779779748,460
GTF2H1;RAD9A_mis,-1.779017862,461
BRCA2;POLD2_mis,-1.77859067,462
DTL;POLD3_mis,-1.777541405,463
ERCC2_mis;GTF2H4_mis,-1.777515782,464
BRCA1_mis;CINP,-1.777318267,465
BRCA2;PPP4C,-1.77699834,466
POLR2F;POLR2L,-1.776660597,467
SUMO1;UBE2T,-1.776551909,468
DDB1_mis;INO80_mis,-1.776482821,469
GTF2H1;RBX1_mis,-1.775628099,470
COPS5;NFRKB,-1.775323869,471
ATRIP_mis;INO80B_mis,-1.775040027,472
RIF1;UHRF1,-1.774824396,473
SMARCAD1;XRCC2,-1.772791336,474
HUS1_mis;RAD51,-1.772714052,475
CHAF1A;VPS72_mis,-1.771360859,476
CHEK1_mis;TIMELESS_mis,-1.771351908,477
ATRIP_mis;WDR70_mis,-1.771306587,478
MMS19;TOPBP1_mis,-1.7712408,479
DMAP1_mis;RAD9B,-1.771207466,480
ATR;POLD3_mis,-1.770090737,481
GTF2H3;XAB2_mis,-1.770030747,482
MCM7;POLL,-1.769915809,483
OTUB1;RBX1_mis,-1.769479233,484
FANCF;RBX1_mis,-1.769044296,485
FANCB;FZR1,-1.768971241,486
CCNH_mis;PRKDC,-1.768670436,487
POLD2_mis;POLR2B_mis,-1.768543741,488
TONSL_mis;WDR70_mis,-1.768408184,489
FOXM1;FZR1,-1.768376821,490
CDK7_mis;TDP2,-1.765886026,491
PSMD14_mis;VPS72_mis,-1.764843839,492
PPP4C;RBM17_mis,-1.764787464,493
DOT1L;GTF2H1,-1.764532494,494
CHEK1_mis;FAM35A,-1.76407752,495
APEX2;UBE2T,-1.763590656,496
MCM7;RBX1_mis,-1.762980737,497
RAD9B;SMC3,-1.761974669,498
ESCO2;RFC2_mis,-1.761676957,499
CLSPN;SMC1A_mis,-1.761404745,500
MCM4;RAD9B,-1.759717251,501
GINS4_mis;KLHL15,-1.755665141,502
DNA2_mis;PPP4R2,-1.755619868,503
GINS4_mis;MORF4L2,-1.754994365,504
FANCF;RAD9A_mis,-1.754962087,505
TERF2;UBE2D3,-1.754905255,506
ESCO2;TOPBP1_mis,-1.754580149,507
BARD1;COPS8,-1.75297973,508
FANCA;UVSSA,-1.752340507,509
ACTR2_mis;SUMO1,-1.752334563,510
POLD3_mis;POLG,-1.75183599,511
SPRTN;TOP3A,-1.751795593,512
COPS5;NUDT16L1,-1.75126594,513
GTF2H3;TERF2,-1.750609055,514
APEX2;MTA1,-1.750604563,515
ETAA1;HUS1_mis,-1.749783674,516
SMC3;SSRP1_mis,-1.748503333,517
HUS1_mis;UPF1,-1.748497782,518
ATRIP_mis;BLM,-1.747149111,519
ATRIP_mis;MCM7,-1.746091982,520
NDNL2;SHFM1_mis,-1.745862926,521
CDC7;TRRAP,-1.744861623,522
BRCA1_mis;MEAF6,-1.744149607,523
DTL;TOPBP1_mis,-1.743625848,524
DNA2_mis;POLR2E_mis,-1.743436815,525
CHRNA4;FZR1,-1.743170227,526
FAM35A;FZR1,-1.742030686,527
SUMO1;TRIP12,-1.738969003,528
CDK7_mis;MSH6,-1.73833526,529
COPS5;GTF2H5,-1.737701523,530
COPS5;TOP3A,-1.736763287,531
DTL;GPS1,-1.735958804,532
FANCM;RPAIN,-1.734158978,533
CCNH_mis;HINFP_mis,-1.732110108,534
MEAF6;RAD9B,-1.730359974,535
GTF2H4_mis;GTF2H5,-1.729911562,536
DNA2_mis;RFC2_mis,-1.72966381,537
RFC3_mis;RPA3_mis,-1.72936548,538
FANCC;HINFP_mis,-1.727908812,539
ACTR2_mis;DHX9,-1.727728698,540
POLR2A_mis;WDHD1_mis,-1.727692945,541
BARD1;C19orf40,-1.727001407,542
HUS1_mis;MCM7,-1.726633732,543
BARD1;FANCE,-1.726507121,544
ATRIP_mis;RMI1,-1.72630935,545
MMS22L;SHFM1_mis,-1.726257554,546
GINS4_mis;GTF2H1,-1.726123669,547
ACTR5;RPS3_mis,-1.725769526,548
DHX9;RMI2,-1.725656671,549
COPS2;PCNA,-1.725454988,550
CDK7_mis;PPP4C,-1.725275552,551
UCHL5;WDR70_mis,-1.724892163,552
CINP;NFRKB,-1.724507683,553
GINS4_mis;SUMO1,-1.724470253,554
FANCL;RPA3_mis,-1.724292027,555
ACTR8_mis;PTTG1,-1.721812567,556
NDNL2;RAD9A_mis,-1.721569192,557
BARD1;KDM2A,-1.720987638,558
BRCA1_mis;NFRKB,-1.720670703,559
HMGB2;MCM7,-1.720493713,560
NPLOC4;VCP_mis,-1.720245883,561
RAD9B;TERF2,-1.719960653,562
DNA2_mis;PIAS4,-1.719109671,563
BRCA1_mis;PPP4C,-1.718752242,564
FANCF;PRKDC,-1.718334446,565
MEAF6;PCNA,-1.718098047,566
COPS8;HINFP_mis,-1.718084197,567
GTF2H5;PRKDC,-1.716940024,568
CDC7;PPP4C,-1.716664264,569
CDK2;OTUB1,-1.716275673,570
BLM;CHEK1_mis,-1.716274576,571
GINS4_mis;UVSSA,-1.714788064,572
CHEK2;SMC3,-1.714264165,573
COPS8;POLA1,-1.713571846,574
APEX2;PCNA,-1.713382765,575
BARD1;TOP3A,-1.71335671,576
APEX2;FANCM,-1.713325376,577
MEAF6;POLN,-1.712392776,578
OBFC1;RAD51,-1.711843951,579
ESCO2;FANCD2,-1.711734406,580
BARD1;FAM35A,-1.710593805,581
COPS5;MEN1,-1.710478134,582
FANCD2;PTTG1,-1.710354663,583
LIG1;RAD51C,-1.710070244,584
DMAP1_mis;RPS3_mis,-1.709725864,585
TNP1;WDR70_mis,-1.709695351,586
INO80E;UVSSA,-1.709138801,587
LIG1;SHFM1_mis,-1.708155342,588
DMAP1_mis;INO80_mis,-1.707039297,589
CEBPG;UBE2B,-1.706883545,590
SMC3;UHRF1,-1.70675586,591
ING3;UBC,-1.706632906,592
ATRX_mis;DDB1_mis,-1.706505921,593
ASCC3;PCNA,-1.706101704,594
POLR2D_mis;RNF8,-1.705841889,595
RFC1;UBE2B,-1.705498069,596
BRCA2;RUVBL1_mis,-1.705314923,597
ATRIP_mis;POLR2L,-1.70484331,598
CEBPG;MEAF6,-1.70430283,599
POLR2E_mis;TRRAP,-1.70428979,600
CHEK1_mis;NPLOC4,-1.70367959,601
DDX1;MEAF6,-1.701848503,602
GINS4_mis;PPP4C,-1.701517491,603
HINFP_mis;UVRAG,-1.701431044,604
APEX2;FANCA,-1.700342316,605
RBX1_mis;RFC5_mis,-1.699826654,606
CINP;INO80_mis,-1.699283762,607
MRE11A;RFC2_mis,-1.698891615,608
BRCA2;DTL,-1.697042417,609
DTL;ESCO2,-1.697017922,610
MCM5;RNF8,-1.696816828,611
DDB1_mis;MCM9,-1.696137356,612
BRCA1_mis;ERCC2_mis,-1.695568341,613
COPS2;POLA1,-1.69529341,614
RAD9B;TFPT,-1.695184899,615
ASCC3;POLR2E_mis,-1.693201312,616
HUS1_mis;SLC30A9,-1.693090059,617
ASCC3;MCM7,-1.69169425,618
MAD2L2;TERF2,-1.691477801,619
FANCC;FZR1,-1.691381941,620
ERCC2_mis;PRKDC,-1.690798061,621
FZR1;RAB43,-1.690780971,622
RFC5_mis;SMC1A_mis,-1.690353651,623
RAD51B;RFWD3,-1.690271077,624
CDK2;TERF2,-1.690107495,625
RFC1;RPA1_mis,-1.68967885,626
MEAF6;POLR2E_mis,-1.689162689,627
CCNH_mis;NPM1,-1.688996835,628
